stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Project\practises\bin\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.19665] added dtor for sub_bitmap 027a4b58, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19674] added dtor for sub_bitmap 027a5178, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19682] added dtor for sub_bitmap 027a5300, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19690] added dtor for sub_bitmap 027a5488, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19700] added dtor for sub_bitmap 027a6ce8, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19708] added dtor for sub_bitmap 027a60a8, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19725] added dtor for sub_bitmap 027a6e70, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19741] added dtor for sub_bitmap 027a6b60, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19757] added dtor for sub_bitmap 027a6850, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19771] added dtor for sub_bitmap 027a6ff8, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19786] added dtor for sub_bitmap 027a6540, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19808] added dtor for sub_bitmap 027a5c10, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19824] added dtor for sub_bitmap 027a5f20, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19841] added dtor for sub_bitmap 027a7308, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19877] added dtor for sub_bitmap 027a5d98, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19891] added dtor for sub_bitmap 027a77a0, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19902] added dtor for sub_bitmap 027a7490, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19915] added dtor for sub_bitmap 027a7618, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19927] added dtor for sub_bitmap 027a66c8, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19939] added dtor for sub_bitmap 027a69d8, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19951] added dtor for sub_bitmap 027a7180, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19963] added dtor for sub_bitmap 027a5a88, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19974] added dtor for sub_bitmap 027a6230, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.19986] added dtor for sub_bitmap 027a63b8, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.20004] added dtor for sub_bitmap 027a8f70, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.20017] added dtor for sub_bitmap 027a8c60, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.20029] added dtor for sub_bitmap 027a9590, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.20041] added dtor for sub_bitmap 027a8de8, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.20054] added dtor for sub_bitmap 027a90f8, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.20065] added dtor for sub_bitmap 027a9a28, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.20078] added dtor for sub_bitmap 027a7e98, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.20089] added dtor for sub_bitmap 027a8950, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.20100] added dtor for sub_bitmap 027a9408, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.20113] added dtor for sub_bitmap 027a8020, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.20125] added dtor for sub_bitmap 027a9280, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.20136] added dtor for sub_bitmap 027a9718, func 747a1c9e
dtor     D               dtor.c:196  _al_register_destructor          [   0.20148] added dtor for sub_bitmap 027a8330, func 747a1c9e
